drug_name,disease_term,side_effect,type,groups,synonyms,targets,ATC
carnitine,Cardiomyopathy;Carnitine deficiency;Encephalopathy;Failure to thrive;Hypoglycaemia;Hypotonia;Inborn error of metabolism;Muscle relaxant therapy;Muscular weakness;Renal failure chronic,Abdominal cramps;Abdominal pain;Accidental injury;Amblyopia;Anaemia;Angiopathy;Anorexia;Anxiety;Arrhythmia;Asthenia;Atrial fibrillation;Back pain;Body odor;Body temperature increased;Bronchitis;Cardiovascular disorder;Chest pain;Constipation;Convulsion;Cough;Cramps of lower extremities;Decreased appetite;Depression;Dermatitis;Diarrhoea;Dizziness;Drug dependence;Dysgeusia;Dyspepsia;Dyspnoea;Electrocardiogram abnormal;Eye disorder;Fluid overload;Gastric atony;Gastritis;Gastrointestinal disorder;Gastrointestinal pain;Gastrointestinal symptom NOS;Haemoglobin;Haemorrhage;Headache;Hypercalcaemia;Hyperkalaemia;Hypersensitivity;Hypertension;Hypertonia;Hypotension;Impaired gastric emptying;Infection;Influenza;Injection site reaction;Injury;Insomnia;Melaena;Muscle spasms;Muscular weakness;Musculoskeletal discomfort;Myalgia;Myasthenia;Nausea;Oedema peripheral;Pain;Palpitations;Paraesthesia;Parathyroid disorder;Pharyngitis;Pruritus;Rash;Renal failure;Rhinitis;Sinusitis;Skin odour abnormal;Tachycardia;Urinary tract infection;Vertigo;Vomiting;Weight decreased;Weight increased,small molecule,investigational,ER; ER-alpha; ESR; Estradiol receptor; NR3A1; Nuclear receptor subfamily 3 group A member 1,Estrogen receptor,A16AA01
gamma-aminobutyric,Agammaglobulinemia;Bruton's agammaglobulinaemia;Foetal damage;Hepatitis;Hepatitis A;Hepatitis B;Hepatitis viral;Herpes zoster;Hypogammaglobulinaemia;Immunocompromised;Immunodeficiency;Immunodeficiency common variable;Infection;Insomnia;Measles;Rubella;Thymoma;Varicella;Varicella zoster,Anaphylactic shock;Angioedema;Injection site pain;Injection site tenderness;Pain;Urticaria,small molecule,approved; investigational,4-aminobutanoic acid; 4-aminobutyric acid; 4Abu; GABA; gamma-Aminobutyric acid; piperidic acid; piperidinic acid; γ-amino-n-butyric acid; γ-aminobutanoic acid; γ-Aminobuttersäure; γ-aminobutyric acid; ω-aminobutyric acid; GABA(A) receptor subunit gamma-2; GABAAR subunit gamma-2; GABT3; GAT-3; GAT3; Solute carrier family 6 member 11; CD49 antigen-like family member D; CD49D; Integrin alpha-IV; VLA-4 subunit alpha; GABA(A) receptor subunit alpha-2; GABAAR subunit alpha-2; GABA(A) receptor subunit alpha-3; GABAAR subunit alpha-3; GABA(A) receptor subunit beta-2; GABAAR subunit beta-2; GABA(A) receptor subunit alpha-1; GABAAR subunit alpha-1; GABA(A) receptor subunit alpha-5; GABAAR subunit alpha-5; GABATR; GABT1; GAT-1; GAT1; Solute carrier family 6 member 1; GABA-B receptor 1; GABA-B-R1; GABA-BR1; GABABR1; Gb1; GPRC3A; G-protein coupled receptor 51; GABA-B receptor 2; GABA-B-R2; GABA-BR2; GABABR2; Gb2; GPR51; GPRC3B; HG20; 2.1.4.1; AGAT; L-arginine:glycine amidinotransferase; Transamidinase; hPAT1; PAT1; Proton/amino acid transporter 1; Solute carrier family 36 member 1,"Gamma-aminobutyric acid receptor subunit gamma-2; Sodium- and chloride-dependent GABA transporter 3; Integrin alpha-4; Gamma-aminobutyric acid receptor subunit alpha-2; Gamma-aminobutyric acid receptor subunit alpha-3; Gamma-aminobutyric acid receptor subunit beta-2; Gamma-aminobutyric acid receptor subunit alpha-1; Gamma-aminobutyric acid receptor subunit alpha-5; Sodium- and chloride-dependent GABA transporter 1; Gamma-aminobutyric acid type B receptor subunit 1; Gamma-aminobutyric acid type B receptor subunit 2; Glycine amidinotransferase, mitochondrial",L03AA03
5-aminolevulinic,Actinic keratosis;Erythropoietic protoporphyria;Malignant glioma;Porphyria non-acute;Seborrhoeic keratosis,Accidental exposure to product;Accidental ingestion;Acne;Alanine aminotransferase increased;Amylase increased;Anaemia;Angiopathy;Aphasia;Application site irritation;Application site reaction;Aspartate aminotransferase increased;Blood amylase increased;Blood and lymphatic system disorders;Blood bilirubin increased;Body temperature increased;Brain neoplasm;Brain oedema;Cardiac disorder;Chills;Convulsion;Dermatitis;Diarrhoea;Discomfort;Dry skin;Dysaesthesia;Embolism;Embolism venous;Erythema;Excoriation;Eye disorder;Eyelid oedema;Feeling hot;Gamma-glutamyltransferase increased;Gastrointestinal disorder;Glioma;Haemoglobin;Haemorrhage;Headache;Hemianopia;Hemiparesis;Hepatobiliary disease;Herpes simplex;Hyperaesthesia;Hyperkeratosis;Hyperpathia;Hypoaesthesia;Hypotension;Induration;Infection;Infestation;Infestation NOS;Leukocytosis;Leukoderma;Mental disorder;Nausea;Neoplasm;Nervous system disorder;Nervousness;Oedema;Pain;Paraesthesia;Petechiae;Photodamaged skin;Photodermatosis;Photosensitivity;Photosensitivity reaction;Pruritus;Pustule;Rash;Rash maculo-papular;Rash pustular;Respiratory failure;Respiratory insufficiency;Scab;Seborrhoeic dermatitis;Skin cancer;Skin carcinoma;Skin disorder;Skin exfoliation;Skin hyperpigmentation;Skin hypertrophy;Skin tightness;Stinging;Sunburn;Tenderness;Tension;Thrombocytopenia;Thromboembolism;Ulcer;Unspecified disorder of skin and subcutaneous tissue;Urticaria;Vomiting;Warmth;Welts;Wound secretion,small molecule,approved,"5-ALA; 5-Aminolevulinic acid; ácido 5-aminolevulínico; Aminolevulinic acid; dALA; δ-ALA; δ-aminolevulinic acid; 1.3.3.4; PPO; 4.2.1.24; ALADH; Porphobilinogen synthase; Intestinal H(+)/peptide cotransporter; Oligopeptide transporter, small intestine isoform; PEPT1; Peptide transporter 1; Kidney H(+)/peptide cotransporter; Oligopeptide transporter, kidney isoform; PEPT2; Peptide transporter 2",Protoporphyrinogen oxidase; Delta-aminolevulinic acid dehydratase,L01XD04
leucovorin,Anaemia;Anaemia megaloblastic;Colon cancer;Colorectal cancer;Colorectal cancer metastatic;Colorectal carcinoma;Foetor hepaticus;Folate deficiency;Hepatocellular injury;Liver disorder;Malabsorption;Malnutrition;Neoplasm malignant;Osteosarcoma;Pernicious anaemia;Sprue,Abdominal pain;Abdominal pain lower;Abdominal pain upper;Abdominal tenderness;Acute kidney injury;Alopecia;Anaphylactic shock;Anaphylactoid reaction;Anorexia;Asthenia;Blood creatinine increased;Body temperature increased;Caecitis;Chills;Confusional state;Constipation;Convulsion;Decreased appetite;Dermatitis;Diarrhoea;Discomfort;Disease progression;Dizziness;Dysgeusia;Dyspepsia;Dyspnoea;Erythema;Extravasation;Fatigue;Febrile neutropenia;Feeling abnormal;Gastrointestinal disorder;Gastrointestinal pain;Hypersensitivity;Ill-defined disorder;Infection;Kidney function abnormal;Lethargy;Leukopenia;Loss of consciousness;Malaise;Nausea;Neuropathy;Neuropathy peripheral;Pruritus;Rash;Renal failure acute;Renal impairment;Rigors;Sensitisation;Serum creatinine increased;Shock;Skin disorder;Stomatitis;Syncope;Thrombocytopenia;Urticaria;Vomiting;Wheezing,small molecule,approved,"(5-formyl-5,6,7,8-tetrahydropteroyl)glutamate; 10-Formyl-7,8-dihydrofolic acid; 5-Formyl-5,6,7,8-tetrahydrofolic acid; 5-Formyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid; 5-Formyltetrahydrofolate; 5-formyltetrahydrofolic acid; Acide folinique; Acido folinico; Folinate; Folinic acid; L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid; Leucovorinum; N-(5-formyl-5,6,7,8-tetrahydropteroyl)-L-glutamic acid; N5-Formyl-5,6,7,8-tetrahydrofolic acid; N5-Formyltetrahydrofolic acid; G21; HCP1; Heme carrier protein 1; hPCFT; HsPCFT; PCFT; PCFT/HCP1; Solute carrier family 46 member 1; 1.5.1.3; hOAT3; OAT3; Organic anion/dicarboxylate exchanger; Solute carrier family 22 member 8",Proton-coupled folate transporter; Dihydrofolate reductase, V03AF03;V03AF03;V03AF06
acetate,Hyponatraemia;Infection,Acidosis;Haematuria;Hypernatraemia;Pain;Stinging,small molecule,experimental,"Acetate; Acetate anion; Acetate ion; Acetate ion (1-); Acetic acid anion; Acetic acid, ion(1-); Acetoxy ion; Azetat; 3.4.24.65; HME; Macrophage elastase; Matrix metalloproteinase-12; ME; MME; MMP-12; CALM; CAM; CAM1; 1.15.1.1; hSod1; Superoxide dismutase 1; (S)-3-amino-2-methylpropionate transaminase; 2.6.1.19; GABA aminotransferase; GABA transaminase; GABA-AT; GABA-T; GABAT; Gamma-amino-N-butyrate transaminase; L-AIBAT; 3.4.15.1; ACE; DCP; DCP1; Dipeptidyl carboxypeptidase I; Kininase II; 2.6.1.16; D-fructose-6-phosphate amidotransferase; GFAT; Glucosamine-6-phosphate synthase; Hexosephosphate aminotransferase; L-glutamine--D-fructose-6-phosphate amidotransferase; 3.1.3.48; Protein-tyrosine phosphatase 1B; PTP-1B; PTP1B; 1.14.13.39; bNOS; Constitutive NOS; N-NOS; NC-NOS; Neuronal NOS; Nitric oxide synthase, brain; nNOS; NOS type I; Peptidyl-cysteine S-nitrosylase NOS1; 1.3.5.2; DHOdehase; Dihydroorotate oxidase; 3.4.21.36; ELA1; Elastase-1; Pancreatic elastase 1; ER-beta; ESTRB; NR3A2; Nuclear receptor subfamily 3 group A member 2; 2.4.2.22; HGPRT; 1.13.11.27; 4-hydroxyphenylpyruvic acid oxidase; 4HPPD; HPD; HPPDase; PPD; 1.14.13.39; cNOS; Constitutive NOS; EC-NOS; Endothelial NOS; eNOS; Nitric oxide synthase, endothelial; NOS type III; NOSIII; ADF; ATL-derived factor; SASP; Surface-associated sulphydryl protein; TRDX; TRX; TRX1; 4.2.1.1; CA-II; CAC; Carbonate dehydratase II; Carbonic anhydrase C; Carbonic anhydrase II; Cyanamide hydratase CA2; 3.3.2.6; Leukotriene A(4) hydrolase; LTA-4 hydrolase; LTA4; Tripeptide aminopeptidase LTA4H; CAM2; CAMB; CALML2; CAM3; CAMC; CAMIII; 1.1.1.-; 1.1.1.210; 1.1.1.53; 1.1.1.62; 17-beta-HSD 5; 17-beta-hydroxysteroid dehydrogenase type 5; 3-alpha-HSD type 2; 3-alpha-HSD type II, brain; 3-alpha-hydroxysteroid dehydrogenase type 2; Chlordecone reductase homolog HAKRb; DD-3; DD3; DDH1; Dihydrodiol dehydrogenase 3; Dihydrodiol dehydrogenase type I; HA1753; HSD17B5; KIAA0119; PGFS; Prostaglandin F synthase; Testosterone 17-beta-dehydrogenase 5; 3.1.1.4; Group IB phospholipase A2; Phosphatidylcholine 2-acylhydrolase 1B; PLA2; PLA2A; PPLA2; 3.5.2.6; Penicillinase","Macrophage metalloelastase; Calmodulin-1; Superoxide dismutase [Cu-Zn]; 4-aminobutyrate aminotransferase, mitochondrial; Angiotensin-converting enzyme; Glutamine--fructose-6-phosphate aminotransferase [isomerizing]; Tyrosine-protein phosphatase non-receptor type 1; Nitric oxide synthase 1; Dihydroorotate dehydrogenase (quinone), mitochondrial; Chymotrypsin-like elastase family member 1; Estrogen receptor beta; Hypoxanthine-guanine-xanthine phosphoribosyltransferase; 4-hydroxyphenylpyruvate dioxygenase; Nitric oxide synthase 3; Thioredoxin; Carbonic anhydrase 2; Leukotriene A-4 hydrolase; Calmodulin-2; Calmodulin-3; Aldo-keto reductase family 1 member C3; Phospholipase A2; Beta-lactamase",G01AD02
acetylcholine,Miosis,Bradycardia;Corneal decompensation;Corneal oedema;Corneal opacity;Dyspnoea;Flushing;Hyperhidrosis;Hypotension;Sweating,small molecule,approved; investigational,Acetylcholine; ACh; Choline acetate; O-Acetylcholine; NACHRA7; 3.1.1.7; AChE; 3.1.1.8; Acylcholine acylhydrolase; Butyrylcholine esterase; CHE1; Choline esterase II; Pseudocholinesterase; High-affinity sodium-dependent carnitine cotransporter; OCTN2; Solute carrier family 22 member 5; hOCT1; OCT1; Organic cation transporter 1,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3; Muscarinic acetylcholine receptor M4; Neuronal acetylcholine receptor subunit alpha-7,S01EB09
adenosine,Atrial fibrillation;Atrial flutter;Atrioventricular block;Cardiac disorder;Convulsion;Coronary artery disease;Electrocardiogram QRS complex;Myocardial ischaemia;Nodal block;Paroxysmal supraventricular tachycardia;QRS complex;Sinus rhythm;Supraventricular tachycardia;Vascular resistance systemic;Ventricular tachycardia;Wolff-Parkinson-White syndrome,Abdominal discomfort;Acute coronary syndrome;Affect lability;Agitation;Anaphylactic shock;Angioedema;Anxiety;Apnoea;Apprehension;Arrhythmia;Asthenia;Atrial fibrillation;Atrioventricular block;Atrioventricular block complete;Atrioventricular block first degree;Atrioventricular block second degree;Back distress;Back pain;Blood pressure increased;Bradycardia;Bronchoconstriction;Bronchospasm;Burning sensation;Cardiac arrest;Cardiac disorder;Cardiac failure;Cerebrovascular accident;Chest discomfort;Chest pain;Chest pressure;Convulsion;Coronary artery disease;Cough;Dermatitis;Device capturing issue;Discomfort;Dizziness;Drowsiness;Dry mouth;Dysgeusia;Dyspnoea;Ear discomfort;Electrocardiogram ST segment depression;Electrocardiogram ST segment elevation;Excitability;Extrasystoles;Fatal outcomes;Flushing;Gastrointestinal discomfort;General discomfort;Grand mal convulsion;Haemorrhage intracranial;Head pressure;Headache;Hyperhidrosis;Hypersensitivity;Hypertension;Hyperventilation;Hypoaesthesia;Hypotension;Injection site reaction;Intracranial pressure increased;Lightheadedness;Limb discomfort;Loss of consciousness;Mediastinal disorder;Micturition urgency;Mood swings;Musculoskeletal discomfort;Myocardial infarction;Myocardial ischaemia;Nasal congestion;Nausea;Nervousness;Nodal block;Non-sustained ventricular tachycardia;Numbness;Pain;Palpitations;Paraesthesia;Pollakiuria;Rash;Respiratory arrest;Respiratory failure;Scotoma;Sensory loss;Shock;Sinoatrial block;Sinus arrest;Sinus tachycardia;Skipped beats;Somnolence;Supraventricular extrasystoles;Sweating;Syncope;Tachycardia;Taste metallic;Tension;Throat tightness;Tingling sensation;Tinnitus;Tonic-clonic seizures;Torsade de pointes;Tremor;Urticaria;Ventricular arrhythmia;Ventricular extrasystoles;Ventricular fibrillation;Ventricular tachycardia;Vision blurred;Vomiting,small molecule,approved; investigational,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol; 6-Amino-9-beta-D-ribofuranosyl-9H-purine; 9-beta-D-Ribofuranosidoadenine; 9-beta-D-Ribofuranosyl-9H-purin-6-amine; 9-β-D-ribofuranosyl-9H-purin-6-amine; Ade-Rib; Adenin riboside; Adenine Deoxyribonucleoside; Adenogesic; Adenosin; Adenosina; Adénosine; Adenosine; Adenosinum; Ado; beta-D-Adenosine; ADORA2; 2.7.4.3; 2.7.4.4; 2.7.4.6; Adenylate monophosphate kinase; AK 1; ATP-AMP transphosphorylase 1; ATP:AMP phosphotransferase; Myokinase; 2.7.4.6; GAAD; Granzyme A-activated DNase; Metastasis inhibition factor nm23; NDK A; NDP kinase A; NDPKA; NM23; NM23-H1; Tumor metastatic process-associated protein; 2.7.4.6; C-myc purine-binding transcription factor PUF; Histidine protein kinase NDKB; NDK B; NDP kinase B; nm23-H2; NM23B; 2.4.2.1; Inosine phosphorylase; Inosine-guanosine phosphorylase; NP; PNP; XDHA; 3.5.4.4; ADA1; Adenosine aminohydrolase; 2.7.1.20; Adenosine 5'-phosphotransferase; AK; ENT1; Equilibrative NBMPR-sensitive nucleoside transporter; Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter; es nucleoside transporter; hENT1; Nucleoside transporter, es-type; Solute carrier family 29 member 1; 36 kDa nucleolar protein HNP36; Delayed-early response protein 12; DER12; ENT2; Equilibrative NBMPR-insensitive nucleoside transporter; Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter; hENT2; HNP36; Hydrophobic nucleolar protein, 36 kDa; Nucleoside transporter, ei-type; Solute carrier family 29 member 2; ENT3; hENT3; Solute carrier family 29 member 3; ENT4; hENT4; Plasma membrane monoamine transporter; PMAT; Solute carrier family 29 member 4; CNT 1; CNT1; Concentrative nucleoside transporter 1; hCNT1; Na(+)/nucleoside cotransporter 1; Sodium-coupled nucleoside transporter 1; Solute carrier family 28 member 1; CNT 2; CNT2; Concentrative nucleoside transporter 2; hCNT2; Na(+)/nucleoside cotransporter 2; Sodium-coupled nucleoside transporter 2; Sodium/purine nucleoside co-transporter; Solute carrier family 28 member 2; SPNT; Connexin-43; Cx43; Gap junction 43 kDa heart protein; GJAL; CNT 3; CNT3; Concentrative Na(+)-nucleoside cotransporter 3; hCNT3",Adenosine receptor A1; Adenosine receptor A2a; Adenosine receptor A2b; Adenosine receptor A3,C01EB10
arginine,Acrocyanosis;Acromegaly;Adenoma benign;Craniopharyngioma;Cyanosis;Dwarfism;Gigantism;Hypoglycaemia;Hypopituitarism;Injury;Insulin hypoglycemia;Panhypopituitarism;Pituitary dwarfism;Trauma,Anaphylactic shock;Anorexia;Brain oedema;Choking;Decreased appetite;Dermatitis;Edema cerebral;Extravasation;Flushing;Haematuria;Headache;Hyperhidrosis;Hypersensitivity;Hypoaesthesia;Injection site reaction;Lethargy;Nasal obstruction;Nausea;Necrosis;Numbness;Paraesthesia oral;Perioral tingling;Phlebitis superficial;Platelet count decreased;Rash;Rash macular;Sensory loss;Sickle cell anaemia;Skin exfoliation;Skin necrosis;Surgery;Surgical intervention;Sweating;Swelling;Tachycardia;Vomiting,small molecule,investigational; nutraceutical,"(2S)-2-amino-5-(carbamimidamido)pentanoic acid; (2S)-2-amino-5-guanidinopentanoic acid; (S)-2-amino-5-guanidinopentanoic acid; (S)-2-Amino-5-guanidinovaleric acid; Arg; Arginina; Arginine; L-(+)-Arginine; L-Arg; L-Arginin; L-arginine; R; ATRC3; CAT-3; CAT3; Cationic amino acid transporter y+; Solute carrier family 7 member 3; ADC; ARGDC; Arginine decarboxylase; AzI2; KIAA1945; ODC-like protein; ODC-p; ODCP; ornithine decarboxylase paralog; Ornithine decarboxylase-like protein; 4.3.2.1; Arginosuccinase; ASAL; 1.14.13.39; HEP-NOS; Hepatocyte NOS; Inducible NO synthase; Inducible NOS; iNOS; NOS type II; NOS2A; Peptidyl-cysteine S-nitrosylase NOS2; ATRC1; CAT-1; CAT1; Ecotropic retroviral leukemia receptor homolog; Ecotropic retrovirus receptor homolog; ERR; REC1L; Solute carrier family 7 member 1; System Y+ basic amino acid transporter; 3.5.3.1; Arginase II; Kidney-type arginase; Non-hepatic arginase; Type II arginase; CAT-4; CAT4; Solute carrier family 7 member 4; 6.3.4.5; ASS; Citrulline--aspartate ligase; 1.14.13.39; cNOS; Constitutive NOS; EC-NOS; Endothelial NOS; eNOS; Nitric oxide synthase, endothelial; NOS type III; NOSIII; High-affinity sodium-dependent carnitine cotransporter; OCTN2; Solute carrier family 22 member 5; Aromatic amino acid transporter 1; MCT 10; MCT10; Solute carrier family 16 member 10; T-type amino acid transporter 1; TAT1; Ergothioneine transporter; ET transporter; ETT; ETTh; OCTN1; Organic cation/carnitine transporter 1; UT2H","Cationic amino acid transporter 3; Antizyme inhibitor 2; Argininosuccinate lyase; Nitric oxide synthase, inducible; High affinity cationic amino acid transporter 1; Arginase-2, mitochondrial; Cationic amino acid transporter 4; Argininosuccinate synthase; Nitric oxide synthase 3", B05XB01;B05XB01;V03AF11
betaine,Homocystinuria;Hypermethioninaemia,Abdominal discomfort;Agitation;Alopecia;Anorexia;Aspiration;Bad taste;Brain oedema;Decreased appetite;Diarrhoea;Distress gastrointestinal;Dysgeusia;Edema cerebral;Gastrointestinal disorder;Glossitis;Headache;Homocystinuria;Hypermethioninaemia;Irritability;Malnutrition;Mental disorder;Nausea;Nervous system disorder;Personality disorder;Skin disorder;Skin odour abnormal;Sleep disorder;Sleep disturbance;Tooth disorder;Unspecified disorder of skin and subcutaneous tissue;Upset stomach;Urethral disorder;Urinary incontinence;Urinary tract disorder;Urticaria;Vomiting,small molecule,approved; investigational; nutraceutical,"2-(Trimethylammonio)Acetate; 2-N,N,N-trimethylammonio acetate; 2-trimethylammonioacetate; Abromine; Acidol; Betaína anhidra; Betaine; Betaine, anhydrous; Glycine betaine; Glycinebetaine; Glykokollbetain; N,N,N-trimethylammonioacetate; N,N,N-Trimethylglycine; TMG; Trimethylaminoacetate; Trimethylammonioacetate; Trimethylglycine; Trimethylglycocoll; 2.1.1.5; 3.1.1.8; Acylcholine acylhydrolase; Butyrylcholine esterase; CHE1; Choline esterase II; Pseudocholinesterase; 1.5.5.2; p53-induced gene 6 protein; PIG6; POX2; PRODH2; Proline oxidase; Proline oxidase 2; BGT-1; BGT1; Na(+)/Cl(-) betaine/GABA transporter; Solute carrier family 6 member 12",Betaine--homocysteine S-methyltransferase 1, A09AB02;A09AB02;A16AA06
calcium,Abdominal colic;Abdominal pain;Alkalosis;Allergic conditions;Arthropod bite;Calcium deficiency;Capillary permeability;Cardiotoxicity;Cramp muscle;Dermatitis herpetiformis;Eruption;Hyperkalaemia;Hyperphosphataemia;Hypocalcaemia;Hypocalcemic tetany;Hypoparathyroidism;Intoxication;Muscle spasms;Neonatal tetany;Osteomalacia;Poisoning;Pruritus;Purpura non-thrombocytopenic;Rash;Renal failure chronic;Rickets;Skin disorder;Spider bite;Tetany;Vitamin D deficiency,Abscess;Anorexia;Arrhythmia;Asthenia;Bradycardia;Calcinosis;Cardiac arrest;Chalky taste;Coma;Confusional state;Constipation;Decreased appetite;Delirium;Depressed level of consciousness;Diarrhoea;Dizziness;Dysgeusia;Feeling abnormal;Hypercalcaemia;Hypersensitivity;Hypotension;Loss of consciousness;Nausea;Necrosis;Oedema;Paraesthesia;Peripheral vasodilatation;Pruritus;Sense of oppression;Shock;Stupor;Syncope;Tingling sensation;Vasodilatation;Vasodilation;Vasodilation procedure;Vasospasm;Venospasm;Vomiting,small molecule,nutraceutical,"Calcio; Calcium, elemental; Elemental calcium; Kalzium; CACH2; CACN2; CACNL1A1; Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle; CCHL1A1; Voltage-gated calcium channel subunit alpha Cav1.2; 7.2.2.10; ATP-dependent Ca(2+) pump PMR1; ATPase 2C1; Ca(2+)/Mn(2+)-ATPase 2C1; KIAA1347; PMR1L; Secretory pathway Ca(2+)-transporting ATPase type 1; SPCA1; TN-C; TNNC; Beta-II spectrin; Fodrin beta chain; Spectrin, non-erythroid beta chain 1; SPTB2; S-100 protein beta chain; S-100 protein subunit beta; S100 calcium-binding protein B; Calpain inhibitor; Sperm BS-17 component; COMP; Thrombospondin-5; TSP5; 1.4.3.22; ABP; ABP1; Amiloride-binding protein; Amiloride-binding protein 1; Amine oxidase copper domain-containing protein 1; DAO; Diamine oxidase; Histaminase; KAO; KDAO; Kidney amine oxidase; S100 calcium-binding protein A13; 3.1.3.1; Alkaline phosphatase Regan isozyme; Placental alkaline phosphatase 1; PLAP; PLAP-1; CAGA; Calgranulin-A; Calprotectin L1L subunit; CFAG; Cystic fibrosis antigen; Leukocyte L1 complex light chain; Migration inhibitory factor-related protein 8; MRP-8; MRP8; p8; S100 calcium-binding protein A8; Urinary stone protein band A; CAGB; Calgranulin-B; Calprotectin L1H subunit; CFAG; Leukocyte L1 complex heavy chain; Migration inhibitory factor-related protein 14; MRP-14; MRP14; p14; S100 calcium-binding protein A9; CAN19; Protein S-100L; S100 calcium-binding protein A2; S100L; Cuproxidase ceruloplasmin; Ferroxidase ceruloplasmin; Glutathione peroxidase ceruloplasmin; Glutathione-dependent peroxiredoxin ceruloplasmin; BMP-2B; BMP-4; BMP2B; Bone morphogenetic protein 2B; DVR4; Cell growth-inhibiting gene 36 protein; MGLAP; MGP; KIAA1313; ALG-2; ALG2; Apoptosis-linked gene 2 protein homolog; CALM; CAM; CAM1; CAM2; CAMB; CALML2; CAM3; CAMC; CAMIII","Voltage-dependent L-type calcium channel subunit alpha-1C; Calcium-transporting ATPase type 2C member 1; Troponin C, skeletal muscle; Troponin C, slow skeletal and cardiac muscles; Spectrin beta chain, non-erythrocytic 1; Protein S100-B; Calpastatin; Cartilage oligomeric matrix protein; Diamine oxidase [copper-containing]; Protein S100-A13; Alkaline phosphatase, placental type; Protein S100-A8; Protein S100-A9; Protein S100-A2; Ceruloplasmin; Bone morphogenetic protein 4; Matrix Gla protein; Protocadherin-19; Programmed cell death protein 6; Calmodulin", A11AA02; A11GB01; M05BB02; M05BB04; M05BB05; M05BB08;A07XA03;M05BB01
