stitch_id,drug_name,disease_term,side_effect,drugbank_id,name,description,type,groups,synonyms,targets,ATC
CID100000085,carnitine,Cardiomyopathy;Carnitine deficiency;Encephalopathy;Failure to thrive;Hypoglycaemia;Hypotonia;Inborn error of metabolism;Muscle relaxant therapy;Muscular weakness;Renal failure chronic,Abdominal cramps;Abdominal pain;Accidental injury;Amblyopia;Anaemia;Angiopathy;Anorexia;Anxiety;Arrhythmia;Asthenia;Atrial fibrillation;Back pain;Body odor;Body temperature increased;Bronchitis;Cardiovascular disorder;Chest pain;Constipation;Convulsion;Cough;Cramps of lower extremities;Decreased appetite;Depression;Dermatitis;Diarrhoea;Dizziness;Drug dependence;Dysgeusia;Dyspepsia;Dyspnoea;Electrocardiogram abnormal;Eye disorder;Fluid overload;Gastric atony;Gastritis;Gastrointestinal disorder;Gastrointestinal pain;Gastrointestinal symptom NOS;Haemoglobin;Haemorrhage;Headache;Hypercalcaemia;Hyperkalaemia;Hypersensitivity;Hypertension;Hypertonia;Hypotension;Impaired gastric emptying;Infection;Influenza;Injection site reaction;Injury;Insomnia;Melaena;Muscle spasms;Muscular weakness;Musculoskeletal discomfort;Myalgia;Myasthenia;Nausea;Oedema peripheral;Pain;Palpitations;Paraesthesia;Parathyroid disorder;Pharyngitis;Pruritus;Rash;Renal failure;Rhinitis;Sinusitis;Skin odour abnormal;Tachycardia;Urinary tract infection;Vertigo;Vomiting;Weight decreased;Weight increased,DB12672,Icaritin,"Icaritin has been used in trials studying the treatment of Solid Tumors, Metastatic Breast Cancer, and Hepatocellular Carcinoma (HCC).",small molecule,investigational,ER; ER-alpha; ESR; Estradiol receptor; NR3A1; Nuclear receptor subfamily 3 group A member 1,Estrogen receptor,A16AA01
CID100000119,gamma-aminobutyric,Agammaglobulinemia;Bruton's agammaglobulinaemia;Foetal damage;Hepatitis;Hepatitis A;Hepatitis B;Hepatitis viral;Herpes zoster;Hypogammaglobulinaemia;Immunocompromised;Immunodeficiency;Immunodeficiency common variable;Infection;Insomnia;Measles;Rubella;Thymoma;Varicella;Varicella zoster,Anaphylactic shock;Angioedema;Injection site pain;Injection site tenderness;Pain;Urticaria,DB02530,gamma-Aminobutyric acid,The most common inhibitory neurotransmitter in the central nervous system.,small molecule,approved; investigational,4-aminobutanoic acid; 4-aminobutyric acid; 4Abu; GABA; gamma-Aminobutyric acid; piperidic acid; piperidinic acid; γ-amino-n-butyric acid; γ-aminobutanoic acid; γ-Aminobuttersäure; γ-aminobutyric acid; ω-aminobutyric acid; GABA(A) receptor subunit gamma-2; GABAAR subunit gamma-2; GABT3; GAT-3; GAT3; Solute carrier family 6 member 11; CD49 antigen-like family member D; CD49D; Integrin alpha-IV; VLA-4 subunit alpha; GABA(A) receptor subunit alpha-2; GABAAR subunit alpha-2; GABA(A) receptor subunit alpha-3; GABAAR subunit alpha-3; GABA(A) receptor subunit beta-2; GABAAR subunit beta-2; GABA(A) receptor subunit alpha-1; GABAAR subunit alpha-1; GABA(A) receptor subunit alpha-5; GABAAR subunit alpha-5; GABATR; GABT1; GAT-1; GAT1; Solute carrier family 6 member 1; GABA-B receptor 1; GABA-B-R1; GABA-BR1; GABABR1; Gb1; GPRC3A; G-protein coupled receptor 51; GABA-B receptor 2; GABA-B-R2; GABA-BR2; GABABR2; Gb2; GPR51; GPRC3B; HG20; 2.1.4.1; AGAT; L-arginine:glycine amidinotransferase; Transamidinase; hPAT1; PAT1; Proton/amino acid transporter 1; Solute carrier family 36 member 1,"Gamma-aminobutyric acid receptor subunit gamma-2; Sodium- and chloride-dependent GABA transporter 3; Integrin alpha-4; Gamma-aminobutyric acid receptor subunit alpha-2; Gamma-aminobutyric acid receptor subunit alpha-3; Gamma-aminobutyric acid receptor subunit beta-2; Gamma-aminobutyric acid receptor subunit alpha-1; Gamma-aminobutyric acid receptor subunit alpha-5; Sodium- and chloride-dependent GABA transporter 1; Gamma-aminobutyric acid type B receptor subunit 1; Gamma-aminobutyric acid type B receptor subunit 2; Glycine amidinotransferase, mitochondrial",L03AA03
CID100000137,5-aminolevulinic,Actinic keratosis;Erythropoietic protoporphyria;Malignant glioma;Porphyria non-acute;Seborrhoeic keratosis,Accidental exposure to product;Accidental ingestion;Acne;Alanine aminotransferase increased;Amylase increased;Anaemia;Angiopathy;Aphasia;Application site irritation;Application site reaction;Aspartate aminotransferase increased;Blood amylase increased;Blood and lymphatic system disorders;Blood bilirubin increased;Body temperature increased;Brain neoplasm;Brain oedema;Cardiac disorder;Chills;Convulsion;Dermatitis;Diarrhoea;Discomfort;Dry skin;Dysaesthesia;Embolism;Embolism venous;Erythema;Excoriation;Eye disorder;Eyelid oedema;Feeling hot;Gamma-glutamyltransferase increased;Gastrointestinal disorder;Glioma;Haemoglobin;Haemorrhage;Headache;Hemianopia;Hemiparesis;Hepatobiliary disease;Herpes simplex;Hyperaesthesia;Hyperkeratosis;Hyperpathia;Hypoaesthesia;Hypotension;Induration;Infection;Infestation;Infestation NOS;Leukocytosis;Leukoderma;Mental disorder;Nausea;Neoplasm;Nervous system disorder;Nervousness;Oedema;Pain;Paraesthesia;Petechiae;Photodamaged skin;Photodermatosis;Photosensitivity;Photosensitivity reaction;Pruritus;Pustule;Rash;Rash maculo-papular;Rash pustular;Respiratory failure;Respiratory insufficiency;Scab;Seborrhoeic dermatitis;Skin cancer;Skin carcinoma;Skin disorder;Skin exfoliation;Skin hyperpigmentation;Skin hypertrophy;Skin tightness;Stinging;Sunburn;Tenderness;Tension;Thrombocytopenia;Thromboembolism;Ulcer;Unspecified disorder of skin and subcutaneous tissue;Urticaria;Vomiting;Warmth;Welts;Wound secretion,DB00855,Aminolevulinic acid,A compound produced from succinyl-CoA and glycine as an intermediate in heme synthesis. It is used as a photochemotherapy for actinic keratosis. [PubChem],small molecule,approved,"5-ALA; 5-Aminolevulinic acid; ácido 5-aminolevulínico; Aminolevulinic acid; dALA; δ-ALA; δ-aminolevulinic acid; 1.3.3.4; PPO; 4.2.1.24; ALADH; Porphobilinogen synthase; Intestinal H(+)/peptide cotransporter; Oligopeptide transporter, small intestine isoform; PEPT1; Peptide transporter 1; Kidney H(+)/peptide cotransporter; Oligopeptide transporter, kidney isoform; PEPT2; Peptide transporter 2",Protoporphyrinogen oxidase; Delta-aminolevulinic acid dehydratase,L01XD04
CID100000143,leucovorin,Anaemia;Anaemia megaloblastic;Colon cancer;Colorectal cancer;Colorectal cancer metastatic;Colorectal carcinoma;Foetor hepaticus;Folate deficiency;Hepatocellular injury;Liver disorder;Malabsorption;Malnutrition;Neoplasm malignant;Osteosarcoma;Pernicious anaemia;Sprue,Abdominal pain;Abdominal pain lower;Abdominal pain upper;Abdominal tenderness;Acute kidney injury;Alopecia;Anaphylactic shock;Anaphylactoid reaction;Anorexia;Asthenia;Blood creatinine increased;Body temperature increased;Caecitis;Chills;Confusional state;Constipation;Convulsion;Decreased appetite;Dermatitis;Diarrhoea;Discomfort;Disease progression;Dizziness;Dysgeusia;Dyspepsia;Dyspnoea;Erythema;Extravasation;Fatigue;Febrile neutropenia;Feeling abnormal;Gastrointestinal disorder;Gastrointestinal pain;Hypersensitivity;Ill-defined disorder;Infection;Kidney function abnormal;Lethargy;Leukopenia;Loss of consciousness;Malaise;Nausea;Neuropathy;Neuropathy peripheral;Pruritus;Rash;Renal failure acute;Renal impairment;Rigors;Sensitisation;Serum creatinine increased;Shock;Skin disorder;Stomatitis;Syncope;Thrombocytopenia;Urticaria;Vomiting;Wheezing,DB00650,Leucovorin,"Folinic Acid (also known as 5-formyl tetrahydrofolic acid or leucovorin) is the 5-formyl derivative of tetrahydrofolic acid, a necessary co-factor in the body. Commercially available leucovorin is composed of a 1:1 racemic mixture of the dextrorotary and levorotary isomers, while levoleucovorin contains only the pharmacologically active levo-isomer. In vitro, the levo-isomer has been shown to be rapidly converted to the biologically available methyl-tetrahydrofolate form while the dextro form is slowly excreted by the kidneys. Despite this difference in activity, the two commercially available forms have been shown to be pharmacokinetically identical and may be used interchangeably with limited differences in efficacy or side effects (Kovoor et al, 2009). 

As folate analogs, leucovorin and levoleucovorin are both used to counteract the toxic effects of folic acid antagonists, such as methotrexate, which act by inhibiting the enzyme dihydrofolate reductase (DHFR). They are indicated for use as rescue therapy following use of high-dose methotrexate in the treatment of osteosarcoma or for diminishing the toxicity associated with inadvertent overdosage of folic acid antagonists. Injectable forms are also indicated for use in the treatment of megaloblastic anemias due to folic acid deficiency when oral therapy is not feasible and for use in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer. 

Folic acid is an essential B vitamin required by the body for the synthesis of purines, pyrimidines, and methionine before incorporation into DNA or protein. However, in order to function in this role, it must first be reduced by the enzyme dihydrofolate reductase (DHFR) into the cofactors dihydrofolate (DHF) and tetrahydrofolate (THF). This important pathway, which is required for de novo synthesis of nucleic acids and amino acids, is disrupted when high-dose methotrexate is used for cancer therapy. As methotrexate functions as a DHFR inhibitor to prevent DNA synthesis in rapidly dividing cells, it also prevents the formation of DHF and THF. This results in a deficiency of coenzymes and a resultant buildup of toxic substances that are responsible for numerous adverse side effects associated with methotrexate therapy. As levoleucovorin and leucovorin are analogs of tetrahydrofolate (THF), they are able to bypass DHFR reduction and act as a cellular replacement for the co-factor THF, thereby preventing these toxic side effects.",small molecule,approved,"(5-formyl-5,6,7,8-tetrahydropteroyl)glutamate; 10-Formyl-7,8-dihydrofolic acid; 5-Formyl-5,6,7,8-tetrahydrofolic acid; 5-Formyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid; 5-Formyltetrahydrofolate; 5-formyltetrahydrofolic acid; Acide folinique; Acido folinico; Folinate; Folinic acid; L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid; Leucovorinum; N-(5-formyl-5,6,7,8-tetrahydropteroyl)-L-glutamic acid; N5-Formyl-5,6,7,8-tetrahydrofolic acid; N5-Formyltetrahydrofolic acid; G21; HCP1; Heme carrier protein 1; hPCFT; HsPCFT; PCFT; PCFT/HCP1; Solute carrier family 46 member 1; 1.5.1.3; hOAT3; OAT3; Organic anion/dicarboxylate exchanger; Solute carrier family 22 member 8",Proton-coupled folate transporter; Dihydrofolate reductase, V03AF03;V03AF03;V03AF06
CID100000146,5-methyltetrahydrofolate,,Sensitisation,DB04789,5-methyltetrahydrofolic acid,"5-methyltetrahydrofolic acid is a methylated derivate of tetrahydrofolate. It is generated by methylenetetrahydrofolate reductase from 5,10-methylenetetrahydrofolate and used to recycle homocysteine back to methionine by 5-methyltetrahydrofolate-homocysteine methyltransferases (also called methionine synthases).",small molecule,investigational; nutraceutical,"5-Methyl-5,6,7,8-tetrahydrofolic acid; 5-Methyl-5,6,7,8-tetrahydropteroyl-L-glutamic acid; 5-Methyltetrahydropteroyl monoglutamate; 5-Methyltetrahydropteroylglutamic acid; N-Methyltetrahydrofolate; N-Methyltetrahydrofolic acid; N5-Methyltetrahydrofolate; N5-Methyltetrahydrofolic acid; N5-Methyltetrahydropteroylglutamate; 2.1.2.10; GCST; GCVT; Glycine cleavage system T protein; 7.6.2.-; 7.6.2.2; 7.6.2.3; Canalicular multidrug resistance protein; Canalicular multispecific organic anion transporter 1; CMOAT; CMOAT1; CMRP; MRP2; Multidrug resistance-associated protein 2","Aminomethyltransferase, mitochondrial",
CID100000158,PGE2,Abdominal cramps;Abdominal pain;Abortion missed;Benign hydatidiform mole;Cardiovascular disorder;Diabetes mellitus;Foetal death;Hydatidiform mole;Hypertension;Hypotension;Microsomia;Nausea;Patent ductus arteriosus;Postmature baby;Postmaturity;Pre-eclampsia;Rhesus incompatibility;Stillbirth;Vomiting,Abdominal pain;Acute coronary syndrome;Amniotic fluid embolism;Anaphylactic shock;Anaphylactoid reaction;Anaphylactoid syndrome of pregnancy;Angiopathy;Arrhythmia;Arthralgia;Asthenia;Asthma;Back pain;Blood and lymphatic system disorders;Body temperature increased;Breast tenderness;Bronchoconstriction;Bronchospasm;Cardiac arrest;Chest discomfort;Chest pain;Chest tightness;Chills;Cough;Cramp muscle;Cramps of lower extremities;Deafness;Death neonatal;Dehydration;Dermatitis;Diarrhoea;Disseminated intravascular coagulation;Dizziness;Dyspnoea;Endometritis;Eye pain;Failed induction of labour;Flushing;Foetal distress syndrome;Foetal heart rate;Gastrointestinal pain;Headache;Hearing impaired;Hiccups;Hot flush;Hyperhidrosis;Hypersensitivity;Hypertension;Hypertonia;Hypotension;Immune system disorder;Inflammation;Laryngitis;Loss of consciousness;Menopausal symptoms;Muscle spasms;Musculoskeletal discomfort;Musculoskeletal stiffness;Myalgia;Myocardial infarction;Nausea;Neck stiffness;Nuchal rigidity;Oedema genital;Pain;Paraesthesia;Pharyngitis;Post procedural infection;Postoperative infection;Postpartum haemorrhage;Pregnancy;Premature separation of placenta;Presyncope;Rash;Shivering;Shock;Skin discolouration;Stillbirth;Sweating increased;Syncope;Tachycardia;Tension;Tremor;Urinary retention;Uterine hypertonus;Uterine rupture;Vaginal infection;Vaginal inflammation;Vaginal irritation;Vaginal pain;Vaginismus;Vasovagal symptoms;Vision blurred;Vomiting;Vulvitis;Vulvovaginal discomfort;Vulvovaginal pain;Wheezing,,,,,,,,G02AD02
CID100000159,prostacyclin,Connective tissue disorder;Familial pulmonary arterial hypertension;Hypertension;Idiopathic pulmonary arterial hypertension;Pulmonary arterial hypertension;Scleroderma,Abdominal colic;Abdominal discomfort;Abdominal distension;Abdominal pain;Acute confusional state;Acute coronary syndrome;Agitation;Anaemia;Anaphylactic shock;Angiopathy;Anorexia;Anxiety;Application site pain;Arthralgia;Arthritis;Ascites;Asthenia;Back pain;Blood and lymphatic system disorders;Body temperature increased;Bradycardia;Cardiac disorder;Cardiac failure;Cardiac failure right;Catheter related infection;Cellulitis;Chest discomfort;Chest pain;Chest tightness;Chills;Collagen disorder;Confusional state;Connective tissue disorder;Constipation;Cough;Cramps of lower extremities;Cyanosis;Decreased appetite;Depression;Dermatitis;Device related infection;Diarrhoea;Dizziness;Dry mouth;Dyspepsia;Dyspnoea;Eczema;Endocrine disorder;Enlargement abdomen;Epistaxis;Fatigue;Flatulence;Flushing;Gastritis;Gastrointestinal disorder;Gastrointestinal pain;Haematuria;Haemoglobin;Haemorrhage;Haemothorax;Headache;Hepatic failure;Hyperaesthesia;Hypercalcaemia;Hyperhidrosis;Hyperkalaemia;Hyperkinesia;Hypersensitivity;Hypersplenism;Hyperthyroidism;Hypoaesthesia;Hypotension;Hypoxia;Infection;Infestation;Infestation NOS;Influenza like illness;Influenza-like symptoms;Injection site pain;Injection site reaction;Insomnia;Instillation site pain;Lassitude;Loss of consciousness;Major depression;Mediastinal disorder;Mental disorder;Muscle spasms;Musculoskeletal discomfort;Musculoskeletal pain;Myalgia;Myocardial infarction;Nausea;Neck pain;Nervous system disorder;Nervousness;Oedema;Oedema peripheral;Orthostatic hypotension;Pain;Pain in jaw;Pallor;Palpitations;Pancytopenia;Paraesthesia;Peripheral vascular disorder;Pharyngitis;Platelet count decreased;Pleural effusion;Pneumonia;Pneumothorax;Procedural complication;Pruritus;Psychotic depression;Pulmonary embolism;Pulmonary oedema;Rash;Rectal haemorrhage;Rhinitis;Right ventricular failure;Sepsis;Septicemia;Shock;Sinusitis;Skin disorder;Skin ulcer;Somnolence;Splenomegaly;Sweating;Syncope;Tachycardia;Tension;Thirst;Thrombocytopenia;Tremor;Unspecified disorder of skin and subcutaneous tissue;Urinary tract infection;Urticaria;Vasodilation;Vasodilation procedure;Vomiting;Weight decreased,,,,,,,,B01AC09
CID100000160,prostaglandin,,Abdominal pain;Amniotic cavity infection;Amniotic fluid embolism;Anaphylactoid syndrome of pregnancy;Angiopathy;Back pain;Blood and lymphatic system disorders;Body temperature increased;Bradycardia;Death neonatal;Diarrhoea;Disseminated intravascular coagulation;Foetal acidosis;Foetal distress syndrome;Foetal heart rate;Gastrointestinal pain;Hypersensitivity;Hypotension;Immune system disorder;Nausea;Pregnancy;Premature rupture of membranes;Sepsis;Uterine hypertonus;Uterine rupture;Vomiting,DB02056,Prostaglandin D2,"The principal cyclooxygenase metabolite of arachidonic acid. It is released upon activation of mast cells and is also synthesized by alveolar macrophages. Among its many biological actions, the most important are its bronchoconstrictor, platelet-activating-factor-inhibitory, and cytotoxic effects.",small molecule,investigational,"(5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; 11-Dehydroprostaglandin F2-alpha; PGD2; PGD receptor; PGD2 receptor; Prostanoid DP receptor; PGF receptor; PGF2-alpha receptor; Prostanoid FP receptor; PGE receptor EP1 subtype; PGE2 receptor EP1 subtype; Prostanoid EP1 receptor; PGE receptor EP3 subtype; PGE2 receptor EP3 subtype; PGE2-R; Prostanoid EP3 receptor; PGE receptor EP2 subtype; PGE2 receptor EP2 subtype; Prostanoid EP2 receptor; PGE receptor EP4 subtype; PGE2 receptor EP4 subtype; Prostanoid EP4 receptor; PTGER2; Chemoattractant receptor-homologous molecule expressed on Th2 cells; CRTH2; DL1R; G-protein coupled receptor 44; GPR44; 1.1.1.-; 1.1.1.210; 1.1.1.53; 1.1.1.62; 17-beta-HSD 5; 17-beta-hydroxysteroid dehydrogenase type 5; 3-alpha-HSD type 2; 3-alpha-HSD type II, brain; 3-alpha-hydroxysteroid dehydrogenase type 2; Chlordecone reductase homolog HAKRb; DD-3; DD3; DDH1; Dihydrodiol dehydrogenase 3; Dihydrodiol dehydrogenase type I; HA1753; HSD17B5; KIAA0119; PGFS; Prostaglandin F synthase; Testosterone 17-beta-dehydrogenase 5; OATP2A1; PGT; PHOAR2; Prostaglandin transporter; SLC21A2; SLCO2A1; Solute carrier family 21 member 2",Prostaglandin D2 receptor; Prostaglandin F2-alpha receptor; Prostaglandin E2 receptor EP1 subtype; Prostaglandin E2 receptor EP3 subtype; Prostaglandin E2 receptor EP2 subtype; Prostaglandin E2 receptor EP4 subtype; Prostaglandin D2 receptor 2; Aldo-keto reductase family 1 member C3,G02AD01
CID100000175,acetate,Hyponatraemia;Infection,Acidosis;Haematuria;Hypernatraemia;Pain;Stinging,DB14511,Acetate,,small molecule,experimental,"Acetate; Acetate anion; Acetate ion; Acetate ion (1-); Acetic acid anion; Acetic acid, ion(1-); Acetoxy ion; Azetat; 3.4.24.65; HME; Macrophage elastase; Matrix metalloproteinase-12; ME; MME; MMP-12; CALM; CAM; CAM1; 1.15.1.1; hSod1; Superoxide dismutase 1; (S)-3-amino-2-methylpropionate transaminase; 2.6.1.19; GABA aminotransferase; GABA transaminase; GABA-AT; GABA-T; GABAT; Gamma-amino-N-butyrate transaminase; L-AIBAT; 3.4.15.1; ACE; DCP; DCP1; Dipeptidyl carboxypeptidase I; Kininase II; 2.6.1.16; D-fructose-6-phosphate amidotransferase; GFAT; Glucosamine-6-phosphate synthase; Hexosephosphate aminotransferase; L-glutamine--D-fructose-6-phosphate amidotransferase; 3.1.3.48; Protein-tyrosine phosphatase 1B; PTP-1B; PTP1B; 1.14.13.39; bNOS; Constitutive NOS; N-NOS; NC-NOS; Neuronal NOS; Nitric oxide synthase, brain; nNOS; NOS type I; Peptidyl-cysteine S-nitrosylase NOS1; 1.3.5.2; DHOdehase; Dihydroorotate oxidase; 3.4.21.36; ELA1; Elastase-1; Pancreatic elastase 1; ER-beta; ESTRB; NR3A2; Nuclear receptor subfamily 3 group A member 2; 2.4.2.22; HGPRT; 1.13.11.27; 4-hydroxyphenylpyruvic acid oxidase; 4HPPD; HPD; HPPDase; PPD; 1.14.13.39; cNOS; Constitutive NOS; EC-NOS; Endothelial NOS; eNOS; Nitric oxide synthase, endothelial; NOS type III; NOSIII; ADF; ATL-derived factor; SASP; Surface-associated sulphydryl protein; TRDX; TRX; TRX1; 4.2.1.1; CA-II; CAC; Carbonate dehydratase II; Carbonic anhydrase C; Carbonic anhydrase II; Cyanamide hydratase CA2; 3.3.2.6; Leukotriene A(4) hydrolase; LTA-4 hydrolase; LTA4; Tripeptide aminopeptidase LTA4H; CAM2; CAMB; CALML2; CAM3; CAMC; CAMIII; 1.1.1.-; 1.1.1.210; 1.1.1.53; 1.1.1.62; 17-beta-HSD 5; 17-beta-hydroxysteroid dehydrogenase type 5; 3-alpha-HSD type 2; 3-alpha-HSD type II, brain; 3-alpha-hydroxysteroid dehydrogenase type 2; Chlordecone reductase homolog HAKRb; DD-3; DD3; DDH1; Dihydrodiol dehydrogenase 3; Dihydrodiol dehydrogenase type I; HA1753; HSD17B5; KIAA0119; PGFS; Prostaglandin F synthase; Testosterone 17-beta-dehydrogenase 5; 3.1.1.4; Group IB phospholipase A2; Phosphatidylcholine 2-acylhydrolase 1B; PLA2; PLA2A; PPLA2; 3.5.2.6; Penicillinase","Macrophage metalloelastase; Calmodulin-1; Superoxide dismutase [Cu-Zn]; 4-aminobutyrate aminotransferase, mitochondrial; Angiotensin-converting enzyme; Glutamine--fructose-6-phosphate aminotransferase [isomerizing]; Tyrosine-protein phosphatase non-receptor type 1; Nitric oxide synthase 1; Dihydroorotate dehydrogenase (quinone), mitochondrial; Chymotrypsin-like elastase family member 1; Estrogen receptor beta; Hypoxanthine-guanine-xanthine phosphoribosyltransferase; 4-hydroxyphenylpyruvate dioxygenase; Nitric oxide synthase 3; Thioredoxin; Carbonic anhydrase 2; Leukotriene A-4 hydrolase; Calmodulin-2; Calmodulin-3; Aldo-keto reductase family 1 member C3; Phospholipase A2; Beta-lactamase",G01AD02
CID100000187,acetylcholine,Miosis,Bradycardia;Corneal decompensation;Corneal oedema;Corneal opacity;Dyspnoea;Flushing;Hyperhidrosis;Hypotension;Sweating,DB03128,Acetylcholine,"A neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. It is generally not used as an administered drug because it is broken down very rapidly by cholinesterases, but it is useful in some ophthalmological applications.",small molecule,approved; investigational,Acetylcholine; ACh; Choline acetate; O-Acetylcholine; NACHRA7; 3.1.1.7; AChE; 3.1.1.8; Acylcholine acylhydrolase; Butyrylcholine esterase; CHE1; Choline esterase II; Pseudocholinesterase; High-affinity sodium-dependent carnitine cotransporter; OCTN2; Solute carrier family 22 member 5; hOCT1; OCT1; Organic cation transporter 1,Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3; Muscarinic acetylcholine receptor M4; Neuronal acetylcholine receptor subunit alpha-7,S01EB09
